"time_point","ad_category","Treatment_Information","mean_Amyloid_Beta","se_Amyloid_Beta"
1,"Slow","LY3314814-20mg",79.2011955555556,4.39412944819155
52,"Slow","LY3314814-20mg",75.3207028571429,5.5698029389463
104,"Slow","LY3314814-20mg",70.6799422580645,4.914001801884
1,"Slow","LY3314814-50mg",74.4099622222222,4.38611986170726
52,"Slow","LY3314814-50mg",68.03012875,4.57054612448881
104,"Slow","LY3314814-50mg",61.6556207894737,3.78588292167898
1,"Slow","Placebo",79.0665975,3.47726363238668
52,"Slow","Placebo",80.96892,3.15055062809549
104,"Slow","Placebo",82.3855061111111,4.19001692775738
1,"Rapid","LY3314814-20mg",114.943336034483,3.11872899587005
52,"Rapid","LY3314814-20mg",92.0408882857143,3.38746632016145
104,"Rapid","LY3314814-20mg",93.2763854320988,3.45314489079569
1,"Rapid","LY3314814-50mg",116.620703580247,3.50761960205179
52,"Rapid","LY3314814-50mg",110.164715,4.23438771086434
104,"Rapid","LY3314814-50mg",91.0715586440678,3.44661674645744
1,"Rapid","Placebo",111.590356770833,3.79502145718951
52,"Rapid","Placebo",111.171411,3.33161417395514
104,"Rapid","Placebo",107.821934736842,3.97009278049647
1,"All Progressive","LY3314814-20mg",104.953296770186,2.85112815296295
52,"All Progressive","LY3314814-20mg",87.2636924489796,2.92683920986011
104,"All Progressive","LY3314814-20mg",87.0220127678571,2.94221982951836
1,"All Progressive","LY3314814-50mg",99.736407037037,3.2622087374794
52,"All Progressive","LY3314814-50mg",92.4238365789474,3.57571919107911
104,"All Progressive","LY3314814-50mg",79.5477891752577,2.83884874988225
1,"All Progressive","Placebo",101.368603857143,3.09277574395898
52,"All Progressive","Placebo",102.542127857143,2.74659397253103
104,"All Progressive","Placebo",99.6459398214286,3.17168510804621
