"sample_size","power","group"
10,0.192897375313971,"Slow"
20,0.353685588750444,"Slow"
30,0.498980015863562,"Slow"
40,0.621681761243704,"Slow"
50,0.720476719355196,"Slow"
60,0.797230068673987,"Slow"
70,0.855210041374898,"Slow"
80,0.898022006736326,"Slow"
90,0.9290394685781,"Slow"
100,0.951151761368223,"Slow"
110,0.966697036245138,"Slow"
120,0.977492762968602,"Slow"
130,0.984909296493118,"Slow"
140,0.989955257754527,"Slow"
150,0.993358524171418,"Slow"
160,0.995635757347944,"Slow"
170,0.997148543702308,"Slow"
180,0.998146850151135,"Slow"
190,0.998801622344121,"Slow"
200,0.999228646757972,"Slow"
210,0.999505675075487,"Slow"
220,0.999684512313107,"Slow"
230,0.999799431057126,"Slow"
240,0.999872957843166,"Slow"
250,0.999919810323857,"Slow"
260,0.999949551070353,"Slow"
270,0.999968361304712,"Slow"
280,0.999980217419275,"Slow"
290,0.99998766597583,"Slow"
300,0.999992330988727,"Slow"
310,0.999995244042783,"Slow"
320,0.999997057962948,"Slow"
330,0.999998184424148,"Slow"
340,0.999998882163831,"Slow"
350,0.999999313282364,"Slow"
360,0.999999579030358,"Slow"
370,0.999999742468615,"Slow"
380,0.999999842765371,"Slow"
390,0.999999904184643,"Slow"
400,0.999999941720019,"Slow"
410,0.999999964614293,"Slow"
420,0.999999978552058,"Slow"
430,0.999999987021744,"Slow"
440,0.999999992159481,"Slow"
450,0.999999995270765,"Slow"
460,0.999999997151772,"Slow"
470,0.999999998287163,"Slow"
480,0.99999999897143,"Slow"
490,0.999999999383195,"Slow"
500,0.999999999630626,"Slow"
510,0.999999999779088,"Slow"
520,0.999999999868049,"Slow"
530,0.999999999921285,"Slow"
540,0.999999999953099,"Slow"
550,0.999999999972088,"Slow"
560,0.999999999983408,"Slow"
570,0.999999999990149,"Slow"
580,0.999999999994157,"Slow"
590,0.999999999996538,"Slow"
600,0.999999999997951,"Slow"
610,0.999999999998789,"Slow"
620,0.999999999999285,"Slow"
630,0.999999999999578,"Slow"
640,0.999999999999751,"Slow"
650,0.999999999999853,"Slow"
660,0.999999999999914,"Slow"
670,0.999999999999949,"Slow"
680,0.99999999999997,"Slow"
690,0.999999999999982,"Slow"
700,0.99999999999999,"Slow"
710,0.999999999999994,"Slow"
720,0.999999999999996,"Slow"
730,0.999999999999998,"Slow"
740,0.999999999999857,"Slow"
750,0.999999999999999,"Slow"
760,1,"Slow"
770,1,"Slow"
780,1,"Slow"
790,1,"Slow"
800,1,"Slow"
810,1,"Slow"
820,1,"Slow"
830,1,"Slow"
840,1,"Slow"
850,1,"Slow"
860,1,"Slow"
870,1,"Slow"
880,1,"Slow"
890,1,"Slow"
900,1,"Slow"
910,0.999999999999877,"Slow"
920,1,"Slow"
930,1,"Slow"
940,1,"Slow"
950,1,"Slow"
960,1,"Slow"
970,1,"Slow"
980,1,"Slow"
990,0.999999999999709,"Slow"
